location_id,city,state,lat,lng
5613,Maquoketa,IA,42.0689088,-90.6656914
5614,Wapello,IA,41.18141929999999,-91.1854273
5615,Morning Sun,IA,41.0961428,-91.25765109999999
5616,Dorchester,IA,43.4707774,-91.5094633
5618,Northwood,IA,43.4441245,-93.22103709999999
5619,West Liberty,IA,41.5700231,-91.2637695
5621,Grinnell,IA,41.74340919999999,-92.7232456
5622,Jefferson,IA,42.0172457,-94.3774232
5623,Larchwood,IA,43.4535861,-96.43420499999999
5624,Westfield,IA,42.7562147,-96.6039438
5625,Oelwein,IA,42.6784949,-91.91195859999999
5626,Redfield,IA,41.5894322,-94.19606999999999
5628,Bellevue,IA,42.25889360000001,-90.4257531
5629,Tabor,IA,40.8983329,-95.6713891
5630,Hornick,IA,42.2305463,-96.097517
5631,St. Ansgar,IA,43.37848109999999,-92.92038869999999
5632,Martelle,IA,42.0216714,-91.35988960000002
5633,Nampa,ID,43.5407172,-116.5634624
5634,Lava Hot Springs,ID,42.6193625,-112.0110712
5635,Melba,ID,43.3754405,-116.5290116
5636,Hope,ID,48.24770729999999,-116.3071233
5637,Boise,ID,43.6187102,-116.2146068
5638,Coeur d\\\\\\'Alene,ID,47.6776832,-116.7804664
5639,Eden,ID,42.6057451,-114.2108634
5640,Caldwell,ID,43.66293839999999,-116.6873596
5641,Middleton,ID,43.7068281,-116.6201357
5642,Twin Falls,ID,42.5629668,-114.4608711
5643,Garden City,ID,43.6221108,-116.2381744
5644,Hailey,ID,43.51962880000001,-114.3153245
5645,Kuna,ID,43.4918307,-116.4201223
5646,Idaho Falls,ID,43.49165139999999,-112.0339645
5647,Weiser,ID,44.2509976,-116.9693327
5648,Rexburg,ID,43.8231096,-111.7924237
5650,Mountain Home,ID,43.1329504,-115.6911975
5651,Emmett,ID,43.8734978,-116.4993012
5652,Meridian,ID,43.6121087,-116.3915131
5653,Buhl,ID,42.5990714,-114.7594946
5654,DeSmet,ID,47.146785,-116.9167208
5655,Firth,ID,43.3051934,-112.1830288
5656,Blackfoot,ID,43.19047090000001,-112.3449773
5657,Post Falls,ID,47.7179578,-116.9515856
5658,Atlanta,ID,43.8016606,-115.1270768
5659,Sandpoint,ID,48.276577,-116.553465
5660,Brueno,ID,42.8819727,-115.7989463
5661,Star,ID,43.6921071,-116.4934631
5663,Priest River,ID,48.1807415,-116.909365
5664,Lewiston,ID,46.4004089,-117.0011889
5665,Idaho falls,ID,43.49165139999999,-112.0339645
5666,Gonzales,ID,29.5320657,-97.4814163
5667,Eagle,ID,43.6954424,-116.3540138
5668,Rogerson,ID,42.2179662,-114.5942041
5669,Rigby,ID,43.67241190000001,-111.9149681
5670,Priest Lake,ID,48.5879853,-116.8668585
5671,Plummer,ID,47.3351803,-116.8885094
